N,P,K,temperature,humidity,ph,rainfall,label
50.6,54.7,49.0,19.0,83.2,6.87,540.2,cabbage
54.2,36.9,55.0,23.2,85.5,6.72,571.0,cabbage
53.1,46.0,28.9,17.8,82.9,6.82,553.2,cabbage
52.8,33.2,58.6,19.6,85.2,7.04,581.6,cabbage
55.3,31.7,60.4,19.4,85.5,6.72,529.3,cabbage
81.9,38.0,27.1,19.7,84.6,6.82,521.9,cabbage
41.3,39.5,51.4,23.2,84.9,6.76,556.8,cabbage
60.6,48.6,46.4,22.0,85.2,6.98,532.1,cabbage
50.0,23.3,55.9,18.9,86.3,6.25,504.2,cabbage
63.0,58.0,30.4,22.3,88.5,7.01,513.8,cabbage
45.9,37.6,47.0,19.5,84.1,6.51,573.2,cabbage
50.1,60.0,53.0,19.4,85.6,6.99,468.0,cabbage
23.4,31.0,31.7,18.2,84.6,6.72,517.6,cabbage
66.4,35.5,31.2,23.2,84.0,6.67,561.3,cabbage
46.1,26.8,27.6,19.1,83.3,6.55,574.0,cabbage
50.0,15.0,42.2,21.5,85.3,6.79,601.8,cabbage
62.5,41.0,57.9,20.5,83.7,6.51,516.3,cabbage
72.6,54.9,23.4,18.7,85.0,6.65,535.6,cabbage
65.1,47.9,45.8,19.2,85.4,6.77,616.2,cabbage
60.0,58.6,44.9,20.4,86.7,6.7,550.5,cabbage
63.7,30.3,67.4,19.9,85.3,6.61,581.5,cabbage
43.6,72.6,18.2,20.4,84.5,6.89,503.1,cabbage
53.2,59.1,19.0,21.5,84.0,6.85,525.7,cabbage
34.0,42.8,56.3,20.9,85.4,6.85,536.2,cabbage
88.1,47.9,57.4,20.8,83.2,6.85,531.6,cabbage
36.3,47.8,58.9,21.6,85.1,6.91,530.3,cabbage
55.9,45.5,38.4,19.9,84.3,6.76,590.7,cabbage
28.5,54.5,22.7,17.2,87.4,6.86,514.1,cabbage
49.3,47.6,23.0,21.5,85.1,6.56,614.6,cabbage
44.4,5.0,28.3,19.0,84.2,7.02,575.6,cabbage
59.5,60.9,45.7,20.5,84.5,6.7,593.2,cabbage
39.2,46.7,13.3,19.2,85.0,6.36,652.6,cabbage
35.4,51.0,60.5,20.8,86.5,6.78,511.0,cabbage
95.3,50.7,76.0,17.9,85.6,6.88,509.9,cabbage
62.2,33.0,10.0,20.0,84.3,6.65,569.2,cabbage
48.5,44.0,64.9,18.9,85.1,6.76,603.8,cabbage
75.9,22.2,13.6,22.3,83.9,7.08,568.3,cabbage
65.1,38.3,75.6,17.6,86.1,6.91,525.3,cabbage
70.8,27.6,22.7,20.1,84.4,7.16,545.7,cabbage
76.0,50.7,62.4,17.2,83.1,6.53,545.2,cabbage
60.9,61.9,49.4,17.5,84.2,7.06,499.9,cabbage
63.9,40.2,69.0,19.8,82.8,6.36,578.7,cabbage
76.5,32.4,52.5,17.7,85.9,6.81,568.6,cabbage
50.6,27.2,31.5,20.9,84.4,6.53,608.3,cabbage
58.9,34.1,38.2,19.4,85.0,6.53,504.4,cabbage
75.3,55.3,32.3,20.7,84.0,6.63,529.1,cabbage
52.7,52.9,17.5,19.7,84.8,6.48,464.8,cabbage
64.2,61.7,25.1,18.5,82.9,6.91,505.1,cabbage
82.2,42.0,53.6,17.0,84.5,6.66,597.1,cabbage
60.8,45.6,10.0,19.0,84.5,6.88,513.7,cabbage
85.3,39.7,43.3,16.9,84.5,6.49,442.3,cabbage
66.2,15.6,33.6,18.2,86.9,7.08,494.0,cabbage
47.5,23.9,39.5,20.5,82.3,7.1,538.6,cabbage
27.1,36.5,32.9,22.0,83.4,6.47,575.7,cabbage
49.1,44.7,59.9,20.9,86.2,6.87,515.7,cabbage
72.0,50.6,46.1,18.4,84.7,6.68,539.3,cabbage
97.2,56.2,54.3,20.6,85.4,6.51,521.9,cabbage
43.0,40.7,35.8,20.7,82.9,6.51,570.5,cabbage
53.7,50.7,47.6,21.4,86.3,6.6,501.7,cabbage
47.4,35.1,22.5,17.9,85.1,6.35,603.2,cabbage
70.6,60.1,50.1,22.2,85.6,6.79,531.3,cabbage
20.6,34.5,37.8,22.9,85.2,6.81,585.1,cabbage
36.3,25.8,63.6,20.7,85.4,6.5,548.7,cabbage
46.9,48.1,33.4,17.9,85.1,6.45,510.6,cabbage
59.9,25.3,31.3,22.8,84.6,6.67,465.1,cabbage
60.7,47.4,51.5,21.3,83.7,7.14,536.5,cabbage
65.6,38.0,55.4,19.9,85.2,6.62,510.5,cabbage
71.0,45.0,50.0,18.1,85.8,6.71,585.9,cabbage
56.8,50.1,49.5,21.0,84.3,6.64,552.5,cabbage
58.4,34.1,45.0,21.7,84.7,7.12,605.3,cabbage
62.1,49.6,36.0,20.8,84.8,6.67,512.9,cabbage
52.9,44.8,46.8,21.0,86.1,6.66,480.6,cabbage
67.3,30.1,30.4,19.8,84.4,6.77,505.6,cabbage
55.6,50.2,30.8,20.4,85.2,6.26,545.8,cabbage
59.2,36.0,52.7,20.8,83.0,6.83,489.6,cabbage
67.0,36.3,57.1,19.5,84.1,6.57,518.4,cabbage
40.6,20.1,51.3,15.1,85.4,6.73,596.1,cabbage
51.2,36.0,37.4,20.4,84.9,6.91,561.2,cabbage
38.2,48.2,38.5,19.6,83.4,6.38,616.8,cabbage
71.9,70.2,22.3,17.3,84.6,6.85,555.0,cabbage
40.9,44.1,65.7,16.9,86.2,6.51,579.5,cabbage
58.3,57.6,29.4,18.5,82.6,6.71,554.4,cabbage
86.9,63.5,46.0,21.1,85.1,7.14,511.4,cabbage
49.3,31.0,31.1,19.6,85.6,6.82,564.2,cabbage
48.2,34.3,37.6,21.8,89.0,6.83,609.0,cabbage
37.9,47.1,29.4,22.5,83.3,6.74,586.6,cabbage
49.6,38.1,32.8,19.0,85.9,6.98,456.1,cabbage
20.4,46.0,44.2,19.6,83.6,7.01,509.0,cabbage
65.3,31.5,23.1,22.8,84.5,6.6,538.2,cabbage
57.1,46.6,42.2,18.8,83.7,6.77,502.7,cabbage
71.1,51.8,52.6,18.0,83.7,6.89,443.9,cabbage
90.0,32.5,30.2,21.8,87.3,6.81,570.3,cabbage
58.5,32.7,34.1,19.7,84.6,6.85,548.1,cabbage
66.5,47.7,53.9,22.0,82.9,7.03,565.9,cabbage
49.5,44.5,64.5,21.6,83.7,7.2,504.0,cabbage
67.4,39.0,32.1,19.3,86.2,6.79,532.0,cabbage
45.5,64.5,44.8,19.4,84.6,6.83,609.7,cabbage
37.3,32.6,28.0,20.6,84.4,6.97,596.3,cabbage
41.5,40.5,38.8,16.9,84.9,6.55,523.6,cabbage
61.3,33.3,39.4,19.6,84.5,6.63,486.7,cabbage
54.1,40.3,33.3,17.8,85.7,6.89,480.2,cabbage
48.4,41.9,24.3,21.8,84.4,6.93,539.8,cabbage
64.3,63.3,53.3,21.1,83.4,6.48,590.8,cabbage
73.8,32.4,36.3,19.6,83.5,6.88,507.3,cabbage
42.7,29.1,59.0,20.1,85.1,6.57,640.6,cabbage
65.2,44.2,45.2,20.9,81.3,6.59,532.7,cabbage
48.5,52.8,45.1,17.8,83.8,6.75,558.9,cabbage
75.8,43.0,35.2,19.8,84.5,6.48,619.0,cabbage
68.5,43.0,27.6,18.9,86.0,6.61,575.5,cabbage
82.6,41.6,13.8,20.0,86.6,6.63,522.7,cabbage
62.5,31.2,33.7,16.4,86.7,6.98,539.6,cabbage
69.7,51.3,10.0,20.3,85.7,6.93,604.4,cabbage
38.3,28.7,38.5,18.5,83.5,6.75,494.8,cabbage
71.9,30.3,44.1,17.3,85.8,6.52,525.7,cabbage
51.8,46.7,52.7,18.2,84.6,6.84,572.7,cabbage
63.0,47.5,63.5,20.2,84.7,6.51,526.0,cabbage
78.3,31.5,53.2,22.2,85.3,6.73,501.1,cabbage
46.4,36.9,61.4,18.4,83.9,6.38,544.7,cabbage
53.1,35.9,34.8,18.2,83.2,6.97,519.7,cabbage
22.5,46.5,45.1,16.7,83.8,6.87,476.7,cabbage
51.7,73.1,44.9,17.0,86.5,6.55,534.2,cabbage
27.7,13.2,25.0,19.6,85.5,6.88,526.1,cabbage
58.9,29.8,32.0,19.7,82.9,6.71,553.8,cabbage
74.3,23.6,14.3,18.8,85.0,6.54,573.2,cabbage
73.4,60.6,39.7,19.6,85.1,6.53,537.5,cabbage
47.1,32.1,31.6,20.5,84.5,6.62,444.2,cabbage
65.0,44.0,54.7,17.6,83.7,6.9,525.6,cabbage
29.6,31.7,54.3,18.6,86.3,6.58,563.5,cabbage
44.3,22.2,33.4,18.4,84.0,6.71,526.7,cabbage
49.0,48.6,33.6,19.5,85.1,6.53,605.8,cabbage
65.4,26.2,66.8,18.2,84.0,6.84,554.1,cabbage
75.6,40.7,37.8,19.8,85.5,6.26,416.8,cabbage
60.5,5.0,47.6,19.9,84.3,6.73,575.1,cabbage
58.1,38.9,28.9,21.1,85.4,7.03,568.4,cabbage
57.6,37.7,35.3,16.7,84.2,6.37,568.6,cabbage
77.4,32.3,45.2,20.1,86.1,6.82,467.7,cabbage
42.2,33.7,38.7,16.7,83.2,6.78,504.1,cabbage
83.6,26.6,33.1,19.2,87.0,6.76,479.9,cabbage
47.8,38.9,56.7,20.0,87.0,6.65,622.4,cabbage
74.8,47.5,60.3,20.1,86.4,6.93,561.7,cabbage
76.6,35.8,47.1,18.0,86.3,6.72,662.5,cabbage
53.4,48.8,39.7,21.0,84.4,6.92,593.1,cabbage
78.2,25.4,50.4,17.0,86.1,6.69,513.2,cabbage
44.9,32.4,37.9,19.9,83.5,6.79,537.7,cabbage
54.6,39.9,31.8,19.4,81.8,6.72,601.4,cabbage
60.8,24.8,33.6,21.7,85.2,6.92,537.1,cabbage
90.2,44.5,42.4,19.8,84.1,6.74,467.7,cabbage
41.0,43.1,67.3,22.8,85.9,6.67,579.4,cabbage
47.7,42.6,32.9,22.5,84.1,6.46,582.9,cabbage
74.9,46.5,27.5,21.7,84.8,6.61,475.5,cabbage
30.3,38.6,38.8,21.4,82.8,6.58,468.9,cabbage
48.0,25.4,30.8,19.3,84.1,6.51,576.9,cabbage
76.1,31.8,73.2,21.0,84.6,6.93,462.2,cabbage
102.0,62.1,52.7,18.2,83.5,6.83,538.6,cabbage
61.2,41.7,55.8,19.0,86.4,6.89,541.6,cabbage
52.0,55.3,35.7,22.2,85.3,6.86,475.0,cabbage
84.9,48.9,33.1,22.2,85.3,6.79,531.6,cabbage
58.8,56.4,59.9,19.5,85.0,6.57,536.2,cabbage
41.0,44.2,39.4,17.4,84.3,6.42,463.8,cabbage
75.2,44.9,39.4,17.1,84.5,6.65,608.5,cabbage
42.4,53.7,63.3,19.2,84.5,6.71,578.5,cabbage
53.3,53.8,33.6,20.4,86.2,6.86,525.7,cabbage
42.4,35.2,57.9,17.9,86.4,6.77,546.7,cabbage
75.2,23.2,54.1,20.5,84.8,6.95,549.1,cabbage
67.0,26.6,55.3,20.9,84.9,6.96,629.6,cabbage
52.8,48.7,23.6,21.3,85.4,7.15,517.5,cabbage
85.5,28.9,37.8,19.0,85.3,6.71,590.5,cabbage
58.3,31.8,35.3,20.8,85.6,6.95,506.4,cabbage
35.0,53.3,33.4,15.5,85.3,6.72,600.3,cabbage
76.2,49.2,44.7,20.9,83.0,6.99,549.4,cabbage
62.0,26.8,10.0,18.0,87.8,6.77,593.4,cabbage
66.5,25.4,41.7,19.4,86.7,6.74,624.1,cabbage
74.9,63.6,37.5,19.1,84.7,6.7,552.7,cabbage
55.3,48.6,56.8,22.4,84.9,6.51,487.9,cabbage
63.9,32.9,29.7,18.7,86.5,6.95,572.9,cabbage
63.4,42.2,12.4,18.6,84.0,6.88,548.4,cabbage
56.9,44.6,25.4,20.0,87.7,6.51,527.0,cabbage
92.2,56.7,34.5,23.2,83.9,6.64,647.4,cabbage
68.8,28.8,23.0,20.7,87.7,6.76,480.7,cabbage
64.6,59.6,30.4,20.8,84.3,6.57,645.8,cabbage
76.4,46.3,40.2,19.6,86.2,6.7,591.9,cabbage
65.2,56.5,40.8,21.5,83.7,7.03,588.2,cabbage
67.0,39.7,55.1,20.4,85.7,7.04,569.9,cabbage
73.2,15.4,28.9,20.7,85.4,6.98,697.8,cabbage
43.4,42.9,68.8,19.3,84.5,6.49,475.0,cabbage
36.9,31.6,28.1,17.7,84.3,6.72,489.2,cabbage
49.4,40.6,25.4,20.5,84.8,6.68,571.3,cabbage
54.0,48.1,65.8,22.6,84.2,6.91,475.1,cabbage
66.6,54.5,28.2,21.4,83.6,6.71,489.9,cabbage
58.4,41.8,53.7,19.2,84.7,7.03,537.5,cabbage
58.3,33.2,72.8,22.7,86.6,7.09,548.2,cabbage
76.6,18.4,56.1,21.9,85.8,6.55,550.6,cabbage
70.7,23.3,21.5,18.8,82.5,6.66,467.3,cabbage
74.8,48.3,33.7,19.2,86.2,6.78,590.4,cabbage
62.1,54.6,43.2,21.5,85.6,6.53,485.8,cabbage
69.8,34.0,36.9,20.0,85.8,7.15,561.3,cabbage
38.9,41.2,32.4,18.5,82.0,6.66,488.0,cabbage
70.6,43.1,36.6,18.2,84.6,6.42,444.8,cabbage
52.2,33.9,40.6,22.4,85.5,6.88,550.5,cabbage
91.3,26.8,63.0,17.8,85.2,6.71,639.3,cabbage
54.9,52.0,45.9,21.4,84.8,6.76,605.9,cabbage
81.6,49.7,52.1,19.1,85.0,6.69,524.4,cabbage
62.6,30.3,26.7,20.4,85.9,6.36,508.7,cabbage
57.4,38.8,19.1,19.2,85.0,6.9,545.8,cabbage
74.0,23.1,46.0,17.9,85.8,6.7,564.4,cabbage
66.6,44.4,35.6,18.6,84.0,6.73,503.5,cabbage
50.8,35.3,58.7,21.1,84.9,6.77,634.3,cabbage
53.3,24.3,50.3,22.1,85.6,6.92,539.9,cabbage
64.3,26.2,16.1,21.5,84.5,7.04,587.5,cabbage
66.1,28.3,10.0,19.5,84.6,7.12,561.2,cabbage
85.8,23.7,34.8,20.4,87.3,6.71,599.4,cabbage
41.4,61.1,34.4,18.3,83.4,6.83,589.6,cabbage
72.8,47.9,56.3,20.6,83.1,6.6,460.6,cabbage
51.9,38.6,49.9,17.5,84.3,6.6,575.3,cabbage
70.5,37.4,48.7,21.9,85.8,7.09,576.1,cabbage
55.6,49.2,59.3,22.8,84.5,7.02,506.5,cabbage
29.7,33.9,51.9,17.9,86.5,6.73,529.6,cabbage
73.5,57.1,51.5,22.1,85.6,6.68,552.5,cabbage
72.0,44.4,61.3,19.8,86.2,6.76,571.7,cabbage
57.9,23.8,43.5,21.2,86.8,6.84,525.1,cabbage
63.5,48.1,32.1,23.1,81.6,6.89,413.5,cabbage
53.4,8.4,12.9,16.4,87.0,6.67,508.4,cabbage
38.0,36.9,31.4,21.9,86.2,6.61,537.0,cabbage
46.0,61.7,46.9,18.6,84.8,6.66,509.6,cabbage
44.5,21.6,10.0,20.3,85.8,6.85,546.7,cabbage
73.7,39.2,20.1,23.0,85.7,6.79,527.7,cabbage
42.0,36.1,32.6,18.3,83.0,6.59,532.5,cabbage
29.3,41.9,30.0,20.2,84.7,6.47,592.7,cabbage
44.8,39.0,22.9,19.7,86.8,6.42,566.5,cabbage
42.8,53.0,29.6,17.5,83.7,6.5,615.5,cabbage
72.1,30.7,32.0,17.7,84.9,6.92,508.0,cabbage
53.1,24.1,27.1,23.5,84.7,6.32,599.8,cabbage
40.8,37.9,32.5,18.4,85.1,6.61,538.4,cabbage
56.7,39.8,42.2,16.8,84.1,6.7,580.4,cabbage
72.2,55.9,25.9,17.8,84.6,6.95,565.6,cabbage
66.9,26.9,54.3,22.1,85.9,6.88,554.7,cabbage
38.6,50.2,17.8,20.6,84.4,6.52,476.3,cabbage
76.9,49.3,42.2,17.8,84.4,6.87,648.9,cabbage
56.1,38.3,68.2,19.9,84.7,6.88,576.9,cabbage
64.4,25.0,42.4,19.2,85.5,6.84,551.0,cabbage
45.0,28.0,44.9,20.4,85.9,6.98,607.0,cabbage
65.4,38.6,33.5,21.9,84.1,6.45,540.0,cabbage
92.9,34.7,26.9,21.5,85.0,6.92,545.7,cabbage
55.7,58.7,57.9,18.4,83.6,6.68,573.8,cabbage
47.5,35.3,25.3,17.4,83.5,6.78,629.2,cabbage
38.8,34.7,47.8,22.8,85.3,6.55,543.0,cabbage
68.0,41.2,54.2,19.8,85.2,6.75,598.7,cabbage
72.4,61.0,31.9,20.9,85.9,7.01,595.5,cabbage
74.1,60.2,52.0,21.4,86.2,6.76,481.0,cabbage
70.0,33.9,26.1,19.3,85.7,6.7,495.6,cabbage
87.0,38.3,10.0,19.6,85.2,6.6,575.0,cabbage
57.2,60.0,47.0,21.6,84.8,6.71,549.4,cabbage
74.8,43.3,55.0,20.4,87.2,6.91,536.9,cabbage
63.1,55.2,57.9,20.7,85.5,7.14,531.4,cabbage
85.9,32.2,41.7,20.9,82.3,6.41,632.8,cabbage
69.2,40.7,62.4,22.9,87.1,6.68,560.0,cabbage
50.3,31.7,56.8,19.6,84.4,6.67,501.8,cabbage
28.9,44.6,29.8,22.3,84.2,6.64,569.6,cabbage
67.0,61.6,19.4,22.5,84.3,6.73,481.1,cabbage
58.5,37.9,41.7,19.5,86.0,6.63,478.6,cabbage
72.2,40.7,24.4,19.7,85.1,6.6,501.4,cabbage
47.5,49.7,56.6,24.0,88.1,6.69,632.9,cabbage
50.1,23.6,36.1,20.3,83.8,6.83,444.8,cabbage
68.2,44.5,53.5,14.6,84.5,6.81,519.8,cabbage
39.6,46.9,18.8,19.7,85.1,6.59,477.2,cabbage
77.1,47.1,27.6,21.1,84.6,6.64,485.4,cabbage
79.7,54.9,42.7,19.7,86.9,6.49,616.5,cabbage
57.4,45.2,46.9,19.8,83.4,6.81,522.5,cabbage
65.9,59.0,33.6,24.2,85.7,6.35,609.8,cabbage
82.6,30.0,31.5,23.7,85.4,6.56,577.2,cabbage
71.1,47.8,34.5,16.9,85.7,6.75,594.8,cabbage
62.4,38.1,34.0,18.7,84.8,6.5,464.2,cabbage
48.9,41.5,26.3,21.7,82.7,6.71,500.7,cabbage
59.3,25.8,25.7,20.7,83.8,6.87,501.4,cabbage
46.2,47.8,24.7,19.4,84.6,6.7,492.9,cabbage
60.5,49.1,10.0,22.1,84.2,6.85,539.1,cabbage
80.2,17.7,64.2,20.9,85.0,6.73,524.0,cabbage
51.6,47.6,39.9,21.2,83.2,6.44,557.6,cabbage
81.8,25.0,34.7,21.0,85.1,6.96,476.8,cabbage
43.3,45.1,44.4,19.4,86.1,7.29,518.7,cabbage
38.4,27.2,28.8,20.5,85.5,6.35,616.6,cabbage
28.2,21.4,54.9,19.8,82.7,6.45,539.3,cabbage
69.1,45.7,36.2,19.5,82.6,6.56,502.4,cabbage
49.9,59.5,58.1,19.6,84.0,6.85,461.4,cabbage
61.1,42.2,42.2,19.2,87.8,6.91,536.7,cabbage
70.9,38.4,51.6,20.0,84.5,6.48,496.5,cabbage
52.4,35.2,18.4,17.9,86.6,6.45,621.1,cabbage
71.6,30.5,29.7,19.6,84.4,6.43,577.9,cabbage
74.5,50.8,32.4,22.8,84.0,6.53,569.8,cabbage
43.5,40.3,46.9,17.9,85.7,6.68,569.3,cabbage
53.7,26.3,39.0,19.2,85.5,6.96,563.1,cabbage
54.3,37.5,36.3,22.8,82.1,6.73,461.8,cabbage
52.1,30.2,10.0,21.7,86.0,6.29,547.9,cabbage
61.6,52.2,49.6,20.2,84.4,6.73,545.0,cabbage
77.6,62.4,30.5,20.5,84.1,6.5,665.4,cabbage
50.5,62.2,69.4,22.3,85.7,6.87,523.3,cabbage
60.4,20.2,50.0,18.3,86.1,6.4,560.1,cabbage
67.8,39.5,57.9,20.1,83.0,6.64,531.3,cabbage
45.5,24.9,57.7,21.9,84.3,6.81,604.3,cabbage
57.2,67.7,25.1,18.0,85.1,6.7,485.3,cabbage
56.6,41.4,18.5,20.8,86.3,6.6,554.3,cabbage
56.8,53.8,37.8,17.0,86.7,6.68,549.0,cabbage
65.9,57.9,38.3,21.3,84.3,6.72,683.3,cabbage
50.9,76.8,16.9,21.2,84.9,6.67,567.4,cabbage
46.9,27.7,35.7,17.6,85.3,6.83,562.2,cabbage
37.1,24.6,53.7,21.5,85.2,6.65,499.1,cabbage
67.2,30.4,34.3,19.0,85.0,6.49,612.2,cabbage
42.1,34.3,27.1,21.9,84.4,6.55,485.5,cabbage
69.6,30.9,67.4,19.5,84.1,6.47,581.9,cabbage
25.8,43.5,38.8,19.3,82.1,6.53,543.2,cabbage
61.3,46.9,28.1,21.1,86.2,6.71,590.4,cabbage
65.1,26.5,30.0,18.4,82.7,6.84,627.0,cabbage
62.8,47.9,49.2,19.4,85.4,6.74,560.8,cabbage
66.4,42.0,27.0,22.6,85.0,6.87,602.2,cabbage
57.6,35.0,49.8,20.3,86.3,6.82,446.7,cabbage
47.9,45.9,45.9,23.1,87.4,6.9,568.8,cabbage
55.8,43.2,46.5,18.7,84.5,6.77,529.6,cabbage
49.6,35.3,49.0,22.1,84.1,7.15,577.5,cabbage
34.4,40.1,48.2,24.8,84.2,6.44,570.1,cabbage
69.5,31.0,59.7,17.6,83.4,6.58,561.1,cabbage
97.0,40.2,30.5,19.0,87.8,6.61,605.5,cabbage
79.6,24.4,42.8,19.5,86.8,7.0,529.8,cabbage
52.5,18.9,53.3,17.4,84.4,6.84,600.6,cabbage
48.9,46.2,32.6,21.6,82.4,6.89,557.0,cabbage
67.6,66.0,38.9,19.4,84.0,6.72,574.9,cabbage
58.0,46.1,28.3,21.4,87.1,6.6,491.4,cabbage
68.7,48.5,78.0,21.8,86.0,6.95,516.9,cabbage
94.9,38.0,26.3,20.7,85.4,6.99,555.5,cabbage
58.4,39.4,15.2,21.9,85.3,6.81,481.8,cabbage
55.3,16.1,65.4,18.6,82.4,6.73,596.9,cabbage
56.5,35.7,37.2,18.3,84.4,6.59,577.4,cabbage
59.1,29.3,63.6,18.7,86.3,6.75,499.3,cabbage
73.7,52.5,53.8,19.9,85.3,6.61,455.2,cabbage
44.4,41.1,68.0,19.2,85.3,6.92,544.4,cabbage
36.9,39.3,65.1,19.1,88.3,6.7,548.7,cabbage
72.2,32.6,47.4,21.8,85.5,6.72,501.0,cabbage
36.7,31.4,34.1,23.2,85.7,7.0,419.4,cabbage
82.3,55.6,54.9,18.8,84.5,6.91,509.7,cabbage
66.4,37.4,39.3,23.1,85.2,7.02,651.6,cabbage
52.7,17.8,45.4,21.7,85.7,6.68,623.3,cabbage
37.7,36.1,61.1,20.5,85.6,6.84,497.8,cabbage
70.3,51.2,59.0,18.9,85.2,6.75,550.9,cabbage
49.2,41.7,30.9,19.5,86.0,6.73,576.2,cabbage
36.7,37.9,10.0,18.8,84.8,6.78,561.0,cabbage
61.4,35.5,36.2,18.3,86.5,6.85,545.6,cabbage
54.8,63.3,50.4,22.2,84.1,6.95,494.7,cabbage
70.7,35.6,43.3,21.9,86.3,6.59,468.7,cabbage
46.6,19.8,10.0,18.2,85.2,6.69,464.0,cabbage
75.2,43.2,33.4,20.9,84.2,6.79,537.2,cabbage
56.2,51.4,32.1,23.6,83.2,6.77,518.2,cabbage
55.9,38.2,39.7,19.7,86.0,6.78,506.7,cabbage
59.0,28.0,65.9,17.6,86.4,6.76,608.1,cabbage
75.4,29.7,35.3,22.5,86.0,6.98,569.7,cabbage
63.7,8.8,57.6,20.8,85.9,6.87,560.2,cabbage
57.3,45.5,33.4,21.4,84.4,6.4,653.5,cabbage
101.6,29.1,48.8,22.3,84.9,6.7,517.0,cabbage
73.6,43.3,19.1,18.0,83.8,6.96,567.1,cabbage
77.3,51.6,19.4,19.9,86.0,6.58,534.8,cabbage
63.1,53.2,43.8,19.6,86.3,6.62,547.4,cabbage
26.3,42.4,54.2,16.9,86.1,6.9,525.3,cabbage
64.6,28.7,30.5,20.9,87.6,6.74,582.7,cabbage
43.6,47.7,48.3,19.4,84.1,6.98,592.5,cabbage
45.5,40.1,38.2,20.4,84.1,6.66,599.2,cabbage
66.1,61.8,19.8,21.4,85.9,6.71,569.3,cabbage
68.0,27.9,63.1,16.9,83.9,6.49,581.8,cabbage
36.1,10.4,16.7,20.3,84.0,6.79,539.9,cabbage
93.4,53.1,28.0,21.9,83.2,6.73,503.8,cabbage
55.0,26.6,20.0,18.6,83.9,6.85,510.2,cabbage
42.7,38.4,36.3,23.8,83.9,6.98,586.9,cabbage
54.3,56.0,55.4,20.3,85.2,6.42,502.9,cabbage
64.2,44.6,65.4,18.8,82.3,6.87,473.7,cabbage
57.5,30.2,43.1,20.3,83.3,7.05,561.4,cabbage
65.0,51.9,44.2,23.3,83.8,6.97,656.8,cabbage
42.5,34.4,40.0,21.0,82.8,6.82,616.1,cabbage
67.7,50.4,28.5,18.3,83.2,6.64,520.9,cabbage
64.7,47.3,14.2,22.2,86.8,6.42,578.9,cabbage
61.5,56.6,69.9,20.5,70.7,6.62,478.8,carrot
76.0,60.5,59.3,17.6,71.1,6.3,503.9,carrot
52.2,36.9,39.0,18.9,70.4,6.34,551.3,carrot
63.2,47.5,10.0,18.4,70.3,6.69,488.7,carrot
64.6,45.0,29.9,18.6,71.6,6.64,536.2,carrot
60.2,52.0,48.4,19.2,70.9,6.51,477.8,carrot
71.2,41.0,29.6,18.7,72.0,6.54,483.4,carrot
54.0,39.8,25.7,18.8,70.5,6.09,480.1,carrot
74.6,46.6,44.5,18.8,70.0,6.43,485.9,carrot
42.4,50.9,64.5,18.6,69.8,6.41,584.4,carrot
33.5,49.7,57.9,17.8,69.6,6.48,490.5,carrot
27.4,38.4,59.7,16.9,72.0,6.12,558.6,carrot
79.2,38.8,15.5,18.7,70.7,6.4,500.7,carrot
63.0,44.3,21.5,17.8,69.6,6.45,512.3,carrot
53.8,50.9,41.2,19.5,70.5,6.51,495.6,carrot
71.3,59.7,52.4,18.6,71.0,6.48,417.0,carrot
63.1,37.8,26.6,18.5,73.2,6.56,490.5,carrot
58.4,57.2,28.5,16.9,69.0,6.48,550.7,carrot
49.3,42.9,41.7,18.7,68.3,6.32,517.1,carrot
58.3,30.0,74.5,18.4,68.9,6.48,521.7,carrot
61.4,56.0,33.3,16.7,71.0,6.6,541.4,carrot
45.8,32.0,63.7,18.8,69.7,6.52,502.4,carrot
66.8,46.5,55.5,20.9,71.0,6.53,517.3,carrot
62.1,35.0,33.9,19.8,73.5,6.52,470.5,carrot
19.5,18.5,40.2,19.0,70.7,6.44,521.2,carrot
58.4,34.3,15.8,18.8,69.1,6.54,486.0,carrot
80.8,30.5,33.3,17.8,68.8,6.58,531.1,carrot
78.8,47.0,46.0,19.3,69.2,6.3,541.1,carrot
69.0,49.6,54.6,19.3,70.5,6.46,460.5,carrot
50.6,35.6,46.0,19.0,70.4,6.55,508.4,carrot
41.1,33.5,33.3,19.0,68.7,6.29,478.3,carrot
61.9,47.5,52.2,18.3,67.7,6.52,459.8,carrot
49.8,49.2,30.6,18.8,71.1,6.68,503.8,carrot
53.1,28.6,23.9,18.7,69.7,6.38,535.7,carrot
46.3,31.4,57.3,19.5,69.1,6.38,517.7,carrot
73.9,20.0,42.8,18.4,70.0,6.43,571.1,carrot
63.2,41.1,10.0,17.5,69.9,6.6,427.3,carrot
72.4,33.9,35.5,18.4,70.8,6.37,495.2,carrot
69.8,37.2,37.7,18.9,71.0,6.33,460.4,carrot
59.5,32.2,52.5,15.9,69.7,6.69,480.3,carrot
74.1,47.2,53.4,18.1,70.3,6.39,534.4,carrot
54.0,58.5,50.0,18.3,72.4,6.52,520.0,carrot
77.2,52.9,26.5,18.1,68.5,6.57,557.8,carrot
64.5,22.5,55.9,17.5,70.9,6.37,507.7,carrot
67.1,52.4,46.1,18.0,71.1,6.6,494.5,carrot
56.7,46.0,43.2,19.7,69.9,6.49,443.0,carrot
64.3,37.5,41.2,19.2,72.9,6.45,460.5,carrot
55.1,35.6,74.8,18.1,70.7,6.2,506.9,carrot
65.5,53.5,66.3,19.2,70.7,6.51,550.0,carrot
